"id","description","status","priority","file","type","sources","merged_from","reopened_count","progress"
"105","When `int(seg_id)` fails (line 611-613), the raw string is appended to `matched_ids: list[int]`. Type annotation promises `list[int]` but delivers `list[int | str]`. Downstream Roborock service may reject mixed-type segment lists.","done","MEDIUM","apex_brain/tools/vacuum.py","bug","P7","P7-BUG-116","0",""
"106","When HA returns a forecast item with `templow: null` (common for hourly forecasts), `f.get(""templow"", """")` returns `None` (because the key exists with value `null`), not `""""`. The guard on line 110 checks `if lo != """":` — since `None != """"` is True, it enters the branch and produces:","done","MEDIUM","apex_brain/tools/weather.py","bug","P6","P6-BUG-97","0",""
"107","`ws_command` sends the command with `id: 1` (line 102) and reads the next JSON message at line 106, assuming it will be the command result. However, HA may send unsolicited messages (e.g., `event` type) on the WebSocket before the result. The code at line 110 checks `result.get(""success"")` but does NOT verify `result.get(""id"") == 1`. If an unsolicited message arrives first, the code could misinterpret it as the command response.","done","MEDIUM","apex_brain/tools/ws_helpers.py","bug","P8","P8-BUG-141","0","done"
"108","### TEST-GAP-11 — `test_knowledge_store.py` only covers 2 of 15+ methods  | File | `tests/test_knowledge_store.py` | |------|------| | Coverage | ~13% method coverage |  The test file has minimal cove","done","MEDIUM","tests/test_knowledge_store.py","gap","P8","P8-TEST-GAP-11","0",""
"109","### TEST-GAP-12 — `test_notify.py` only has 1 registration test  | File | `tests/test_notify.py` | |------|------| | Coverage | ~5% functionality coverage |  Only tests `_discover_notify_services()` r","done","MEDIUM","tests/test_notify.py","gap","P8","P8-TEST-GAP-12","0",""
"110","No test files for: `calendar_tool.py`, `datetime_tool.py`, `knowledge.py`, `routines.py`, `energy.py`, and 5+ deprecated wrappers.","done","LOW","","test","P9","P9-TEST-9","0",""
"111","Tests for `list_automations`, `list_scenes`, `get_energy_summary`, `get_presence`, and 8+ other tools never test the case where `ha_request()` returns an error dict (`{""error"": ""...""}`) instead of a list. The code does `[s for s in states if s[""entity_id""]...]` on the error dict, iterating dict keys and crashing with `TypeError`. This is related to BUG-77 from PROMPT_3 (`ha_request` error returns dict, callers iterate as list), but the test gap is distinct.","done","LOW","","test","P6","P6-TEST-4","0",""
"112","Two pairs of adjacent string literals use Python's implicit concatenation. While this produces correct paths, it's confusing and will break silently if a comma is accidentally added or removed during editing.","done","LOW","apex_brain/brain/config.py","bug","P5","P5-BUG-87","0",""
"113","### BUG-120: Action trace eviction can delete just-inserted key → KeyError  **File:** `apex_brain/brain/conversation.py:337-340`  **Fix:** Use `.get()` on line 340.","done","LOW","apex_brain/brain/conversation.py","bug","P3","P3-BUG-120","0",""
"114","After every `handle()` call, a background task is spawned for fact extraction regardless of whether there's anything to extract:","done","LOW","apex_brain/brain/conversation.py","bug","P6","P6-BUG-102","0",""
"115","`r""all\s+set""` matches ""You're all set for tomorrow"" — a common non-action phrase.","done","LOW","apex_brain/brain/conversation.py","bug","P7","P7-BUG-122","0",""
"116","`_cleanup_cooldowns()` only called when a check passes. Under floods of events all failing cooldown, expired entries are never cleaned up.","done","LOW","apex_brain/brain/decision_engine.py","bug","P7","P7-BUG-121","0",""
"117","`self._event_counts: dict[str, int] = defaultdict(int)` is dead code. Never read or written.","done","LOW","apex_brain/brain/decision_engine.py","bug","P7","P7-BUG-120","0",""
"118","The function only checks `event_type`, but `event_subscriber` sends ALL events as `event_type=""state_changed""`. A state change on `alarm_control_panel.home` has `event_type=""state_changed""`, NOT `""alarm""`. So the alarm check on line 23 (`if event_type in (""door"", ""alarm"")`) never matches for WebSocket-sourced events — only for webhook events where the user explicitly sets `event_type: alarm`.","done","LOW","apex_brain/brain/event_handler.py","bug","P9","P9-BUG-159","0",""
"119","When a device transitions from `unavailable` to any state, the event is dropped with reason `""recovery from unavailable to {new}""`. While this reduces noise from connectivity bounces, it means users are NEVER notified when a previously-offline device comes back online. For important devices (e.g., a security camera, NAS, or server), this could mask outages.","done","LOW","apex_brain/brain/event_handler.py","bug","P5","P5-BUG-88","0",""
"120","When `request.client` is `None` (happens behind certain reverse proxies or in test scenarios), all requests share the key `""chat:unknown""`:","done","LOW","apex_brain/brain/server.py","bug","P6","P6-BUG-103","0",""
"121","### BUG-122: `context_builder.py` `{f[""id""]}` set comprehension — KeyError if fact lacks `id`  **File:** `apex_brain/memory/context_builder.py:76`  **Fix:** Use `f.get(""id"")` and filter None.","done","LOW","apex_brain/memory/context_builder.py","bug","P3","P3-BUG-122","0",""
"122","High-confidence core facts are appended after semantically relevant facts, but if `relevant_facts` already reached `max_facts` from the semantic search, NO core facts are added. The loop at line 78 checks `len(relevant_facts) >= self.max_facts` and breaks immediately. This means high-confidence facts (confidence >= 0.9) — the most important user knowledge — can be entirely excluded if the semantic search filled the quota with lower-confidence but higher-similarity results.","done","LOW","apex_brain/memory/context_builder.py","bug","P7","P7-BUG-128","0",""
"123","### BUG-124: `save_turn()` stores arbitrarily large content — no size limit  **File:** `apex_brain/memory/conversation_store.py:41-52`  **Fix:** Truncate to 10,000 chars before storage.","done","LOW","apex_brain/memory/conversation_store.py","bug","P3","P3-BUG-124","0",""
"124","### BUG-123: `delete_fact()` TOCTOU between SELECT and DELETE  **File:** `apex_brain/memory/knowledge_store.py:629-644`  **Fix:** Single `DELETE FROM facts WHERE key = ?` and check `cursor.rowcount`.","done","LOW","apex_brain/memory/knowledge_store.py","bug","P3","P3-BUG-123","0","done"
"125","Both `search_semantic()` and `search_keyword()` perform a batch UPDATE on `last_mentioned_at` for returned results, followed by `commit()`. This UPDATE+commit is outside any explicit transaction. If the app crashes between the UPDATE and commit (unlikely but possible), the WAL journal handles recovery. More practically, this means each search does TWO database round-trips (SELECT + UPDATE), adding latency to every context build.","done","LOW","apex_brain/memory/knowledge_store.py","bug","P5","P5-BUG-91","0",""
"126","Duplicate check uses `LIMIT 200`. Categories with 200+ facts will slowly accumulate semantic duplicates.","done","LOW","apex_brain/memory/knowledge_store.py","bug","P7","P7-BUG-126","0",""
"127","When `_embed_text()` fails (API down), `embedding_blob = None` and the fact is stored with `embedding = NULL`. Later, `search_semantic()` queries `WHERE embedding IS NOT NULL`, so these facts are **permanently invisible** to semantic search. No warning is logged about the missing embedding.","done","LOW","apex_brain/memory/knowledge_store.py","bug","P4","P4-BUG-76","0",""
"128","(Carried from BUG-56, re-confirmed.) The column definition uses `COLLATE NOCASE` but the index doesn't. SQLite may not use the index for case-insensitive lookups.","done","LOW","apex_brain/memory/routine_store.py","bug","P4","P4-BUG-75","0",""
"129","The test checks that a 2-character conversation (""Hi"") skips extraction, but doesn't test the exact boundary (19 chars → skip, 20 chars → extract). Off-by-one errors in the threshold are undetected.","done","LOW","apex_brain/test_fact_extractor.py:88-99","test","P6","P6-TEST-3","0",""
"130","No test verifies what happens when a task callback calls `scheduler.register()`. This is the scenario for BUG-98 and is completely untested.","done","LOW","apex_brain/test_scheduler.py","test","P6","P6-TEST-2","0",""
"131","The shared `mock_embed` fixture returns `[0.1, 0.2, 0.3, 0.4]` regardless of input text. Cosine similarity between any two facts is always 1.0. Semantic search ranking tests pass but validate nothing — every fact appears equally relevant.","done","LOW","apex_brain/tests/conftest.py","test","P6,P9","P6-TEST-1,P9-TEST-10","0",""
"132","The test's mock `litellm.acompletion` runs out of `side_effect` entries, raising `StopAsyncIteration`. The test then asserts for content that doesn't exist in the error message. This is a test setup bug — needs more side_effect entries.","done","LOW","apex_brain/tests/test_integration.py","test","P9","P9-TEST-6","0",""
"133","Only tests serialization, keyword search, and semantic search. Missing tests for `correct_fact()`, `delete_fact()`, `decay_confidence()`, `cleanup_expired()`, `get_all_facts()`, `get_contradictory_facts()`, `_check_duplicate()`.","done","LOW","apex_brain/tests/test_knowledge_store.py","test","P9","P9-TEST-8","0",""
"134","Only tests `/health` and `/api/debug/ha`. No tests for: - `POST /v1/chat/completions` (main endpoint) - `POST /api/chat` (test endpoint) - `POST /api/webhook` (event processing) - Rate limiting, request validation, lifespan lifecycle","done","LOW","apex_brain/tests/test_server.py","test","P9","P9-TEST-7","0",""
"135","Sends `""disabled_by"": None` in WebSocket command. HA docs specify `""disabled_by"": """"` (empty string) to clear the disabled state. JSON `null` vs `""""` behavior may change.","done","LOW","apex_brain/tools/configure.py","bug","P7","P7-BUG-125","0",""
"136","`_handle_assign_area` (lines 99, 109), `_handle_disable` (line 124), `_handle_enable` (line 139), and `_handle_delete_area` (line 170) store the `ws_command()` result in `result` but never check it. They always return a success message like `""Disabled entity {target}.""` even if the WebSocket command failed silently (returned an error dict).","done","LOW","apex_brain/tools/configure.py","bug","P5","P5-BUG-89","0",""
"137","In `_discover_floors()`, any exception (timeout, auth failure, JSON parse error) returns `""Floors not available (requires Home Assistant 2024.2+).""` This is misleading when the actual issue is a network timeout or authentication failure.","done","LOW","apex_brain/tools/generic.py","bug","P5","P5-BUG-90","0",""
"138","`_ENTITY_RE = __import__(""re"").compile(...)` bypasses static analysis. Use normal `import re`.","done","LOW","apex_brain/tools/generic.py","bug","P7","P7-BUG-124","0",""
"139","`discover(what, filter="""")` shadows Python's built-in `filter()`. Triggers linter warnings and may confuse developers.","done","LOW","apex_brain/tools/generic.py","bug","P7","P7-BUG-127","0",""
"140","### BUG-121: `get_device_summary` crashes if state dict lacks `entity_id`  **File:** `apex_brain/tools/ha_helpers.py:182`  **Fix:** Use `s.get(""entity_id"", """")`.","done","LOW","apex_brain/tools/ha_helpers.py","bug","P3","P3-BUG-121","0",""
"141","HTTP errors are `logger.error()`'d then `response.raise_for_status()` re-raises, causing callers to log the same error again. Every HA API error produces duplicate log entries.","done","LOW","apex_brain/tools/ha_helpers.py","bug","P7","P7-BUG-123","0",""
"142","```python for r in results: category = r.get(""category"", """") key = r[""key""] # KeyError if missing value = r[""value""] # KeyError if missing","done","LOW","apex_brain/tools/knowledge.py","bug","P9","P9-BUG-158","0",""
"143","If `action=""""` and `position=None`, the code hits the `else` branch (line 746) and returns early. But if `action=""""` and `position=None` and `tilt_position` is set, the code returns at line 746 before `result` is assigned, so `result` at line 774 would be `UnboundLocalError`. In practice, the schema requires `action` to be one of `[""open"", ""close"", ""stop""]`, so empty string shouldn't happen via normal tool calls, but Python doesn't enforce enum constraints at runtime.","done","LOW","apex_brain/tools/smart_home.py","bug","P4","P4-BUG-74","0",""
"144","`ha_request` adds `Authorization: Bearer` header. Webhooks don't need auth. Unnecessary credential exposure.","done","LOW","apex_brain/tools/webhook.py","bug","P3","P3-BUG-125","0",""
"145","If `settings.ha_url` is empty or malformed, `_get_ws_url()` produces an invalid URL but the error only surfaces as a cryptic connection failure.","done","LOW","apex_brain/tools/ws_helpers.py","bug","P9","P9-BUG-160","0",""
"146","get_energy_entities() and get_energy_summary() call ha_request(""GET"", ""/states"") and iterate states without isinstance(states, list). When HA returns error dict (e.g. connection failure), the comprehension iterates dict keys; _is_energy_entity(s) receives strings causing TypeError or wrong output.","done","HIGH","apex_brain/tools/energy.py","bug","P10","","0",""
"147","get_presence_summary() iterates states from ha_request(""GET"", ""/states"") without isinstance(states, list) check. Error dict causes iteration over dict keys; s[""entity_id""] on string raises TypeError/KeyError.","done","HIGH","apex_brain/tools/presence.py","bug","P10","","0",""
"148","list_webhook_automations() iterates states from ha_request(""GET"", ""/states"") without isinstance(states, list). Error dict causes crash when accessing s[""entity_id""].","done","MEDIUM","apex_brain/tools/webhook.py","bug","P10","","0",""
"149","Alexa discovery (L188-192) iterates states from ha_request(""GET"", ""/states"") without isinstance(states, list) check. Error dict causes iteration over keys; s[""entity_id""] fails.","done","MEDIUM","apex_brain/tools/notify.py","bug","P10","","0",""
"150","_discover_vacuum() iterates states from ha_request(""GET"", ""/states"") without isinstance(states, list). Error dict causes iteration over keys; s.get(""entity_id"","""") returns empty for string keys; no crash but returns None incorrectly.","done","MEDIUM","apex_brain/tools/vacuum.py","bug","P10","","0",""
